学号,成绩
1,69
2,93
3,2
4,16
5,99
6,99
7,60
8,19
9,24
10,85
11,85
12,16
13,21
14,80
15,27
16,49
17,35
18,0
19,17
20,70
21,36
22,84
23,87
24,67
25,76
26,74
27,97
28,17
29,28
30,48
31,87
32,70
33,6
34,8
35,43
36,68
37,66
38,58
39,33
40,10
41,71
42,64
43,80
44,37
45,56
46,46
47,32
48,42
49,50
50,2
51,81
52,78
53,79
54,87
55,89
56,77
57,56
58,34
59,99
60,93
61,57
62,78
63,75
64,17
65,48
66,19
67,42
68,40
69,48
70,92
71,92
72,77
73,19
74,47
75,27
76,60
77,35
78,56
79,39
80,8
81,82
82,49
83,55
84,0
85,73
86,60
87,72
88,63
89,19
90,64
91,26
92,12
93,96
94,52
95,8
96,7
97,35
98,51
99,42
100,68
101,6
102,25
103,37
104,17
105,90
106,13
107,67
108,14
109,47
110,0
111,64
112,83
113,78
114,68
115,97
116,73
117,8
118,13
119,36
120,27
121,89
122,82
123,41
124,27
125,39
126,45
127,9
128,38
129,56
130,65
131,40
132,35
133,24
134,70
135,46
136,23
137,52
138,12
139,93
140,49
141,72
142,65
143,38
144,8
145,66
146,84
147,38
148,91
149,40
150,15
151,38
152,20
153,32
154,61
155,95
156,83
157,47
158,44
159,50
160,19
161,30
162,26
163,3
164,14
165,11
166,34
167,39
168,27
169,12
170,78
171,96
172,69
173,65
174,0
175,63
176,21
177,38
178,62
179,99
180,90
181,60
182,51
183,43
184,41
185,91
186,65
187,22
188,83
189,97
190,58
191,92
192,19
193,49
194,99
195,60
196,54
197,68
198,5
199,74
200,84
201,60
202,75
203,44
204,6
205,95
206,9
207,4
208,12
209,22
210,33
211,23
212,77
213,17
214,79
215,33
216,48
217,51
218,44
219,85
220,81
221,58
222,23
223,96
224,36
225,100
226,40
227,3
228,54
229,9
230,59
231,68
232,58
233,67
234,96
235,15
236,37
237,45
238,53
239,71
240,85
241,60
242,55
243,23
244,6
245,56
246,3
247,11
248,76
249,76
250,68
251,98
252,14
253,21
254,12
255,53
256,86
257,64
258,27
259,84
260,40
261,0
262,86
263,42
264,100
265,84
266,52
267,61
268,72
269,35
270,99
271,96
272,82
273,31
274,56
275,71
276,67
277,8
278,17
279,54
280,29
281,44
282,51
283,72
284,56
285,11
286,93
287,69
288,41
289,33
290,99
291,58
292,74
293,9
294,91
295,17
296,86
297,50
298,5
299,1
300,15
301,82
302,85
303,27
304,45
305,85
306,16
307,32
308,67
309,83
310,73
311,11
312,88
313,54
314,1
315,16
316,18
317,70
318,48
319,27
320,53
321,59
322,3
323,26
324,46
325,23
326,27
327,11
328,40
329,31
330,34
331,99
332,47
333,60
334,97
335,63
336,30
337,21
338,94
339,18
340,37
341,43
342,12
343,88
344,6
345,57
346,40
347,66
348,37
349,100
350,7
351,97
352,100
353,62
354,82
355,58
356,7
357,6
358,3
359,7
360,92
361,51
362,97
363,59
364,85
365,57
366,48
367,60
368,23
369,3
370,64
371,49
372,86
373,9
374,51
375,57
376,5
377,44
378,86
379,47
380,81
381,63
382,55
383,17
384,64
385,8
386,100
387,80
388,16
389,93
390,51
391,92
392,45
393,64
394,21
395,12
396,100
397,11
398,71
399,18
400,95
401,1
402,67
403,92
404,47
405,23
406,83
407,23
408,29
409,92
410,49
411,40
412,59
413,96
414,80
415,60
416,60
417,40
418,67
419,65
420,38
421,80
422,17
423,15
424,25
425,85
426,98
427,18
428,29
429,75
430,65
431,20
432,17
433,24
434,10
435,23
436,36
437,68
438,92
439,100
440,81
441,25
442,75
443,70
444,71
445,39
446,50
447,89
448,49
449,82
450,76
451,79
452,3
453,19
454,31
455,52
456,28
457,49
458,93
459,62
460,80
461,74
462,82
463,24
464,83
465,70
466,31
467,95
468,93
469,63
470,1
471,6
472,61
473,67
474,80
475,87
476,5
477,82
478,20
479,18
480,12
481,62
482,43
483,28
484,38
485,19
486,23
487,70
488,79
489,60
490,92
491,79
492,2
493,60
494,39
495,96
496,0
497,58
498,58
499,41
500,2
501,48
502,19
503,52
504,66
505,27
506,27
507,44
508,93
509,36
510,60
511,85
512,34
513,26
514,22
515,38
516,0
517,13
518,72
519,75
520,16
521,30
522,35
523,97
524,74
525,52
526,9
527,41
528,72
529,26
530,36
531,70
532,86
533,65
534,45
535,67
536,70
537,82
538,44
539,93
540,50
541,91
542,55
543,4
544,31
545,62
546,33
547,30
548,49
549,29
550,89
551,73
552,1
553,38
554,6
555,68
556,78
557,94
558,10
559,23
560,45
561,100
562,68
563,57
564,32
565,66
566,14
567,86
568,38
569,92
570,52
571,36
572,6
573,1
574,89
575,29
576,98
577,56
578,44
579,90
580,10
581,87
582,8
583,86
584,98
585,91
586,94
587,42
588,45
589,25
590,79
591,54
592,94
593,46
594,70
595,73
596,27
597,0
598,40
599,66
600,42
601,24
602,11
603,8
604,73
605,0
606,40
607,61
608,86
609,63
610,80
611,60
612,39
613,85
614,81
615,79
616,32
617,31
618,61
619,4
620,49
621,3
622,42
623,17
624,78
625,42
626,94
627,1
628,68
629,46
630,30
631,89
632,5
633,77
634,81
635,41
636,0
637,19
638,44
639,95
640,9
641,41
642,79
643,39
644,23
645,20
646,2
647,16
648,64
649,33
650,23
651,34
652,81
653,100
654,20
