学号,成绩
1,97
2,23
3,48
4,20
5,11
6,93
7,66
8,95
9,97
10,34
11,20
12,88
13,62
14,97
15,89
16,38
17,86
18,92
19,86
20,58
21,97
22,54
23,11
24,2
25,86
26,70
27,57
28,7
29,63
30,49
31,76
32,46
33,37
34,92
35,48
36,16
37,90
38,93
39,88
40,87
41,31
42,29
43,38
44,93
45,79
46,70
47,20
48,94
49,45
50,90
51,92
52,44
53,71
54,54
55,68
56,55
57,25
58,35
59,18
60,50
61,67
62,30
63,10
64,62
65,13
66,58
67,12
68,10
69,10
70,11
71,59
72,2
73,40
74,52
75,10
76,15
77,71
78,31
79,16
80,16
81,39
82,0
83,62
84,51
85,18
86,4
87,1
88,6
89,19
90,58
91,16
92,77
93,69
94,30
95,90
96,17
97,93
98,87
99,16
100,84
101,19
102,16
103,27
104,87
105,23
106,27
107,13
108,2
109,55
110,44
111,15
112,15
113,47
114,96
115,29
116,6
117,64
118,11
119,64
120,10
121,18
122,25
123,63
124,75
125,27
126,27
127,16
128,13
129,93
130,77
131,34
132,78
133,33
134,23
135,60
136,85
137,53
138,43
139,89
140,17
141,3
142,41
143,49
144,0
145,71
146,46
147,42
148,37
149,81
150,68
151,25
152,49
153,92
154,26
155,86
156,29
157,91
158,70
159,80
160,26
161,93
162,22
163,60
164,25
165,70
166,59
167,60
168,56
169,81
170,69
171,55
172,40
173,78
174,31
175,58
176,39
177,98
178,25
179,88
180,33
181,69
182,71
183,73
184,49
185,71
186,10
187,96
188,48
189,51
190,51
191,17
192,98
193,53
194,29
195,26
196,70
197,36
198,67
199,80
200,94
201,42
202,65
203,78
204,16
205,75
206,81
207,27
208,32
209,92
210,77
211,37
212,27
213,50
214,12
215,6
216,40
217,6
218,44
219,3
220,8
221,4
222,17
223,13
224,36
225,88
226,38
227,20
228,58
229,4
230,48
231,20
232,64
233,22
234,38
235,25
236,84
237,11
238,16
239,20
240,11
241,2
242,47
243,62
244,74
245,93
246,35
247,70
248,11
249,52
250,89
251,87
252,52
253,34
254,93
255,7
256,48
257,29
258,32
259,88
260,10
261,89
262,7
263,74
264,29
265,47
266,86
267,99
268,5
269,40
270,55
271,0
272,31
273,14
274,9
275,51
276,8
277,3
278,26
279,47
280,29
281,23
282,0
283,60
284,62
285,11
286,78
287,86
288,37
289,73
290,99
291,17
292,33
293,49
294,75
295,72
296,88
297,59
298,42
299,63
300,25
301,59
302,30
303,37
304,7
305,9
306,71
307,42
308,1
309,49
310,68
311,31
312,80
313,48
314,69
315,24
316,87
317,6
318,23
319,70
320,97
321,57
322,99
323,95
324,59
325,15
326,57
327,15
328,1
329,15
330,89
331,70
332,54
333,15
334,8
335,36
336,10
337,67
338,78
339,20
340,78
341,56
342,54
343,36
344,33
345,52
346,97
347,85
348,66
349,32
350,37
351,22
352,84
353,92
354,84
355,14
356,45
357,39
358,13
359,10
360,54
361,53
362,94
363,0
364,19
365,96
366,34
367,28
368,58
369,68
370,42
371,79
372,61
373,38
374,71
375,24
376,75
377,12
378,76
379,88
380,33
381,84
382,51
383,60
384,90
385,29
386,7
387,30
388,40
389,74
390,35
391,62
392,80
393,13
394,76
395,31
396,36
397,51
398,59
399,9
400,13
401,56
402,67
403,83
404,62
405,59
406,68
407,69
408,67
409,20
410,98
411,5
412,92
413,27
414,95
415,83
416,42
417,27
418,12
419,42
420,70
421,100
422,27
423,6
424,100
425,6
426,92
427,46
428,51
429,95
430,91
431,31
432,38
433,25
434,46
435,55
436,53
437,99
438,26
439,51
440,81
441,77
442,58
443,17
444,85
445,33
446,6
447,63
448,26
449,11
450,29
451,36
452,73
453,20
454,93
455,44
456,4
457,47
458,88
459,60
460,14
461,37
462,53
463,17
464,40
465,97
466,68
467,39
468,1
469,94
470,10
471,20
472,43
473,19
474,15
475,31
476,90
477,87
478,10
479,77
480,23
481,31
482,80
483,10
484,83
485,57
486,3
487,47
488,1
489,46
490,18
491,24
492,59
493,62
494,51
495,35
496,40
497,5
498,31
499,31
500,39
501,97
502,30
503,16
504,4
505,26
506,84
507,22
508,59
509,2
510,1
511,36
512,74
513,88
514,41
515,5
516,24
517,99
518,91
519,40
520,84
521,30
522,39
523,100
524,28
525,41
526,51
527,83
528,25
529,39
530,43
531,100
532,47
533,21
534,11
535,13
536,12
537,50
538,74
539,56
540,37
541,34
542,60
543,54
544,74
545,75
546,7
547,27
548,27
549,25
550,56
551,49
552,75
553,35
554,38
555,60
556,41
557,5
558,58
559,99
560,24
561,6
562,76
563,100
564,41
565,53
566,54
567,9
568,56
569,78
570,47
571,96
572,42
573,61
574,35
575,13
576,5
577,61
578,73
579,71
580,55
581,75
582,10
583,80
584,20
585,36
586,77
587,51
588,47
589,62
590,93
591,10
592,54
593,70
594,33
595,21
596,37
597,87
598,19
599,61
600,50
601,47
602,76
603,47
604,84
605,79
606,34
607,66
608,25
609,61
610,64
611,73
612,64
613,32
614,59
615,45
616,50
617,55
618,31
619,90
620,24
621,0
622,69
623,79
624,78
625,80
626,22
627,85
628,61
629,31
630,28
631,94
632,18
633,82
634,7
635,25
636,0
637,35
638,41
639,40
640,66
641,30
642,42
643,85
644,21
645,34
646,89
647,11
648,2
649,60
650,61
651,54
652,50
653,42
654,67
655,63
656,48
657,66
658,86
659,85
660,64
661,26
662,44
663,28
664,85
665,99
666,75
667,76
668,67
669,53
670,87
671,4
672,50
673,63
674,38
675,100
676,42
677,7
678,22
679,49
680,3
681,52
682,82
683,3
684,76
685,53
686,63
687,22
688,10
689,65
690,5
691,81
692,65
693,42
694,34
695,16
696,95
697,31
698,95
699,80
700,70
701,36
702,35
703,24
704,56
705,37
706,98
707,74
708,30
709,83
710,41
711,66
712,58
713,9
714,30
715,54
716,85
717,86
718,66
719,45
720,13
721,87
722,86
723,15
724,50
725,94
726,19
727,20
728,33
729,63
730,82
731,86
732,43
733,11
734,64
735,46
736,21
737,32
738,30
739,82
740,99
741,70
742,50
743,78
744,44
745,65
746,28
747,7
748,51
749,43
750,30
751,13
752,75
753,85
754,78
755,40
756,70
757,92
758,90
759,93
760,42
761,57
762,5
763,6
764,68
765,99
766,8
767,30
768,15
769,36
770,4
771,88
772,31
773,45
774,37
775,78
776,55
777,22
778,59
779,12
780,29
781,38
782,44
783,86
784,53
785,18
786,99
787,27
788,5
789,6
790,56
791,46
792,58
793,92
794,9
795,70
796,6
797,89
798,31
799,36
800,7
801,44
802,17
803,38
804,88
805,46
806,85
807,97
808,26
809,96
810,10
811,74
812,2
813,72
814,32
815,65
816,80
817,23
818,72
819,30
820,41
821,13
822,34
823,75
824,22
825,97
826,63
827,4
828,37
829,53
830,51
831,7
832,35
833,35
834,83
835,27
836,57
837,41
838,67
839,32
840,10
841,72
842,58
843,78
844,60
845,88
846,44
847,59
848,62
849,9
850,73
851,55
852,57
853,40
854,69
855,32
856,69
857,67
858,12
859,38
860,81
861,75
862,69
863,75
864,96
865,4
866,96
867,85
868,96
869,88
870,42
871,99
872,3
873,53
874,69
875,45
876,52
877,9
878,37
879,23
880,32
881,42
882,78
883,100
884,6
885,79
886,21
887,26
888,14
889,38
890,86
891,19
892,53
893,98
894,94
895,65
896,77
897,15
898,44
899,42
900,78
901,0
902,59
903,6
904,31
905,6
906,77
907,20
908,88
909,86
910,6
911,6
912,43
913,76
914,88
915,91
916,52
917,15
918,10
919,69
920,57
921,49
922,100
923,56
924,5
925,13
926,15
927,62
928,62
929,53
930,76
931,0
932,38
933,71
934,84
935,68
936,72
937,67
938,35
939,25
940,45
941,5
942,73
943,80
944,70
945,15
946,15
947,63
948,75
949,47
950,50
951,40
952,67
953,48
954,4
955,75
956,4
957,21
958,81
959,21
960,10
961,32
962,47
963,82
964,85
965,94
966,8
967,44
968,84
969,99
970,99
971,83
972,86
973,90
974,100
975,41
976,88
977,64
978,16
979,34
980,29
981,0
982,29
983,80
984,85
985,75
986,4
987,26
988,29
989,40
990,21
991,11
992,26
993,23
994,52
995,86
996,16
997,14
998,60
999,70
1000,75
1001,2
1002,1
1003,98
1004,16
1005,71
1006,5
1007,22
1008,79
1009,35
1010,45
1011,3
1012,74
1013,67
1014,45
1015,100
1016,76
1017,6
1018,74
1019,55
1020,1
1021,42
1022,50
1023,39
1024,16
1025,40
1026,82
1027,91
1028,75
1029,7
1030,96
1031,60
1032,24
1033,34
1034,68
1035,48
1036,88
1037,10
1038,89
1039,74
1040,58
1041,46
1042,88
1043,90
1044,95
1045,53
1046,10
1047,89
1048,59
1049,84
1050,95
1051,86
1052,4
1053,86
1054,21
1055,25
1056,98
1057,52
1058,26
1059,38
1060,70
1061,73
1062,44
1063,94
1064,36
1065,84
1066,74
1067,48
1068,59
1069,63
1070,65
1071,58
1072,18
1073,29
1074,49
1075,8
1076,10
1077,30
1078,16
1079,55
1080,38
1081,65
1082,69
1083,83
1084,64
1085,28
1086,35
1087,50
1088,53
1089,70
1090,1
1091,26
1092,12
1093,1
1094,21
1095,16
1096,56
1097,60
1098,83
1099,72
1100,62
1101,32
1102,88
1103,63
1104,87
1105,44
1106,25
1107,63
1108,53
1109,31
1110,30
1111,39
1112,44
1113,64
1114,30
1115,95
1116,72
1117,73
1118,54
1119,55
1120,13
1121,100
1122,6
1123,81
1124,98
1125,76
1126,64
1127,70
1128,45
1129,66
1130,11
1131,62
1132,77
1133,26
1134,78
1135,60
1136,45
1137,62
1138,33
1139,53
1140,83
1141,93
1142,94
1143,14
1144,83
1145,54
1146,92
1147,93
1148,98
1149,32
1150,93
1151,25
1152,67
1153,100
1154,55
1155,29
1156,98
1157,100
1158,17
1159,30
1160,8
1161,17
1162,14
1163,76
1164,50
1165,28
1166,26
1167,8
1168,8
1169,57
1170,27
1171,57
1172,37
1173,38
1174,26
1175,86
1176,75
1177,16
1178,79
1179,55
1180,28
1181,78
1182,47
1183,50
1184,48
1185,59
1186,55
1187,95
1188,68
1189,52
1190,19
1191,24
1192,0
1193,53
1194,7
1195,63
1196,3
1197,18
1198,67
1199,79
1200,27
1201,17
1202,91
1203,74
1204,2
1205,79
1206,21
1207,68
1208,40
1209,55
1210,59
1211,48
1212,15
1213,47
1214,30
1215,14
1216,52
1217,33
1218,95
1219,43
1220,6
1221,84
1222,17
1223,85
1224,33
1225,54
1226,75
1227,32
1228,63
1229,96
1230,80
1231,57
1232,76
1233,60
1234,76
1235,56
1236,72
1237,0
1238,80
1239,52
1240,5
1241,79
1242,72
1243,39
1244,80
1245,38
1246,69
1247,48
1248,79
1249,64
1250,13
1251,13
1252,57
1253,74
1254,7
1255,75
1256,67
1257,52
1258,86
1259,5
1260,48
1261,31
1262,1
1263,72
1264,43
1265,44
1266,53
1267,77
1268,62
1269,6
1270,1
1271,38
1272,52
1273,77
1274,82
1275,52
1276,8
1277,52
1278,18
1279,79
1280,48
1281,27
1282,41
1283,43
1284,18
1285,9
1286,3
1287,100
1288,90
1289,95
1290,77
1291,45
1292,74
1293,9
1294,57
1295,82
1296,25
1297,37
1298,34
1299,17
1300,80
1301,95
1302,39
1303,51
1304,65
1305,61
1306,56
1307,11
1308,66
1309,8
1310,27
1311,53
1312,35
1313,79
1314,76
1315,25
1316,70
1317,52
1318,65
1319,84
1320,24
1321,50
1322,83
1323,41
1324,58
1325,4
1326,8
1327,7
1328,32
1329,12
1330,14
1331,90
1332,67
1333,11
1334,31
1335,93
1336,72
1337,46
1338,41
1339,62
1340,54
1341,30
1342,48
1343,19
1344,49
1345,71
1346,31
1347,62
1348,16
1349,21
1350,42
1351,89
1352,49
1353,83
